Timestamp,PPoly,PBayse,SNews,OBrent,XOfficial,XParallel,XSpread,MGDP,MCPI,MRes,MDebt
2021-01-01,,,-1.5041570502095645,,380.7000122070313,381.0,0.29998779296869316,22680.693,262.687,41727503547.2316,15.1109687776838
2021-01-02,,,-2.8579788851952967,,380.7000122070313,381.0,0.29998779296869316,22680.693,262.687,41727503547.2316,15.1109687776838
2021-01-03,,,-2.7656701041870986,,380.7000122070313,381.0,0.29998779296869316,22680.693,262.687,41727503547.2316,15.1109687776838
2021-01-04,,,-2.758010865860564,50.37,380.7000122070313,381.0,0.29998779296869316,22680.693,262.687,41727503547.2316,15.1109687776838
2021-01-05,,,-2.6569555307335206,53.16,374.0,381.0,7.0,22680.693,262.687,41727503547.2316,15.1109687776838
2021-01-06,,,-1.9399322002849224,53.8,374.0,381.0,7.0,22680.693,262.687,41727503547.2316,15.1109687776838
2021-01-07,,,-2.285701367015195,53.7,374.0,381.0,7.0,22680.693,262.687,41727503547.2316,15.1109687776838
2021-01-08,,,-1.7514644039580674,55.51,380.7000122070313,381.0,0.29998779296869316,22680.693,262.687,41727503547.2316,15.1109687776838
2021-01-09,,,-2.338128751361614,55.51,380.7000122070313,381.0,0.29998779296869316,22680.693,262.687,41727503547.2316,15.1109687776838
2021-01-10,,,-2.396518759667857,55.51,380.7000122070313,381.0,0.29998779296869316,22680.693,262.687,41727503547.2316,15.1109687776838
2021-01-11,,,-2.437734320749314,54.84,393.8813781738281,381.0,-12.881378173828125,22680.693,262.687,41727503547.2316,15.1109687776838
2021-01-12,,,-2.3087500738797755,55.98,374.0,381.0,7.0,22680.693,262.687,41727503547.2316,15.1109687776838
2021-01-13,,,-1.932736974872168,55.52,375.0,381.0,6.0,22680.693,262.687,41727503547.2316,15.1109687776838
2021-01-14,,,-2.3921503797496126,55.76,375.0,381.0,6.0,22680.693,262.687,41727503547.2316,15.1109687776838
2021-01-15,,,-1.6504939688189748,54.8,375.0,381.0,6.0,22680.693,262.687,41727503547.2316,15.1109687776838
2021-01-16,,,-1.662231335014145,54.8,375.0,381.0,6.0,22680.693,262.687,41727503547.2316,15.1109687776838
2021-01-17,,,-1.8140223633953647,54.8,375.0,381.0,6.0,22680.693,262.687,41727503547.2316,15.1109687776838
2021-01-18,,,-2.705799906424255,54.21,393.7083435058594,381.0,-12.708343505859375,22680.693,262.687,41727503547.2316,15.1109687776838
2021-01-19,,,-2.0940426154385583,55.38,380.7000122070313,381.0,0.29998779296869316,22680.693,262.687,41727503547.2316,15.1109687776838
2021-01-20,,,-2.333229352147872,55.66,375.0,381.0,6.0,22680.693,262.687,41727503547.2316,15.1109687776838
2021-01-21,,,-2.3756495921211447,55.68,374.0,381.0,7.0,22680.693,262.687,41727503547.2316,15.1109687776838
2021-01-22,,,-2.4497596553565284,55.22,375.0,381.0,6.0,22680.693,262.687,41727503547.2316,15.1109687776838
2021-01-23,,,-3.1209865528805376,55.22,375.0,381.0,6.0,22680.693,262.687,41727503547.2316,15.1109687776838
2021-01-24,,,-3.5330198947152702,55.22,375.0,381.0,6.0,22680.693,262.687,41727503547.2316,15.1109687776838
2021-01-25,,,-3.42790762473108,55.44,378.0,381.0,3.0,22680.693,262.687,41727503547.2316,15.1109687776838
2021-01-26,,,-3.2404544431108384,55.26,378.0,381.0,3.0,22680.693,262.687,41727503547.2316,15.1109687776838
2021-01-27,,,-1.8251711513739344,55.07,376.0,381.0,5.0,22680.693,262.687,41727503547.2316,15.1109687776838
2021-01-28,,,-2.4050855417463937,54.87,376.0,381.0,5.0,22680.693,262.687,41727503547.2316,15.1109687776838
2021-01-29,,,-2.5807991482968085,55.25,375.0,381.0,6.0,22680.693,262.687,41727503547.2316,15.1109687776838
2021-01-30,,,-2.3265827580897342,55.25,375.0,381.0,6.0,22680.693,262.687,41727503547.2316,15.1109687776838
2021-01-31,,,-2.2663941077256893,55.25,375.0,381.0,6.0,22680.693,262.687,41727503547.2316,15.1109687776838
2021-02-01,,,-2.3304467389243944,56.42,380.7000122070313,381.0,0.29998779296869316,22680.693,263.579,41727503547.2316,15.1109687776838
2021-02-02,1.4600000000000002e-06,1.4600000000000002e-06,-1.9614428343479688,57.62,375.0,381.0,6.0,22680.693,263.579,41727503547.2316,15.1109687776838
2021-02-03,0.10000127022,0.10000127022,-2.331831615695343,58.61,375.0,381.0,6.0,22680.693,263.579,41727503547.2316,15.1109687776838
2021-02-04,0.20000108044,0.20000108044,-2.382089473947955,58.98,376.0,381.0,5.0,22680.693,263.579,41727503547.2316,15.1109687776838
2021-02-05,0.30000089066,0.30000089066,-2.684404130715208,59.48,375.0,381.0,6.0,22680.693,263.579,41727503547.2316,15.1109687776838
2021-02-06,0.40000070088,0.40000070088,-2.303653278992824,59.48,375.0,381.0,6.0,22680.693,263.579,41727503547.2316,15.1109687776838
2021-02-07,0.5000005111000001,0.5000005111000001,-2.1110836909727624,59.48,375.0,381.0,6.0,22680.693,263.579,41727503547.2316,15.1109687776838
2021-02-08,0.60000032132,0.60000032132,-3.004340382447739,60.17,376.0,381.0,5.0,22680.693,263.579,41727503547.2316,15.1109687776838
2021-02-09,0.7000001315400001,0.7000001315400001,-2.169284865019033,60.74,376.0,381.0,5.0,22680.693,263.579,41727503547.2316,15.1109687776838
2021-02-10,0.7999999417600001,0.7999999417600001,-2.03695830517852,61.17,376.0,381.0,5.0,22680.693,263.579,41727503547.2316,15.1109687776838
2021-02-11,0.8999997519800002,0.8999997519800002,-2.6869414825974776,61.09,376.0,381.0,5.0,22680.693,263.579,41727503547.2316,15.1109687776838
2021-02-12,0.9999995622,0.9999995622,-1.9528682569561169,62.47,375.0,381.0,6.0,22680.693,263.579,41727503547.2316,15.1109687776838
2021-02-13,0.750225981555325,0.750225981555325,-3.3145474299509976,62.47,375.0,381.0,6.0,22680.693,263.579,41727503547.2316,15.1109687776838
2021-02-14,0.50045240091065,0.50045240091065,-3.0945768008914727,62.47,375.0,381.0,6.0,22680.693,263.579,41727503547.2316,15.1109687776838
