date,sgoldstein,snews_gdelt,snews_momentum
2021-01-01,0.6371841155234645,-1.5041570502095645,0.0
2021-01-02,-0.0979240282685514,-2.8579788851952967,-1.3538218349857323
2021-01-03,-0.5345425867507885,-2.7656701041870986,0.09230878100819817
2021-01-04,-0.2209452897377794,-2.758010865860564,0.007659238326534368
2021-01-05,0.1220365212008668,-2.6569555307335206,0.10105533512704357
2021-01-06,0.2214019641043008,-1.9399322002849224,0.7170233304485982
2021-01-07,0.1913157894736847,-2.285701367015195,-0.3457691667302727
2021-01-08,0.5360712901975972,-1.7514644039580674,0.5342369630571278
2021-01-09,-0.1392319667877526,-2.338128751361614,-0.5866643474035467
2021-01-10,-0.1531602708803614,-2.3965187596678574,-0.05839000830624341
2021-01-11,0.1318094188928666,-2.437734320749314,-0.04121556108145663
2021-01-12,-0.1726377346875964,-2.3087500738797755,0.12898424686953858
2021-01-13,0.2419180421172455,-1.932736974872168,0.3760130990076076
2021-01-14,0.1663233190271813,-2.3921503797496126,-0.45941340487744475
2021-01-15,0.4918229326775286,-1.6504939688189748,0.7416564109306378
2021-01-16,0.4573333333333338,-1.662231335014145,-0.011737366195170296
2021-01-17,-0.0960063897763573,-1.8140223633953647,-0.1517910283812196
2021-01-18,-0.442303745510519,-2.705799906424255,-0.8917775430288903
2021-01-19,-0.1772957146659569,-2.0940426154385583,0.6117572909856968
2021-01-20,-0.0989983305509178,-2.333229352147872,-0.23918673670931367
2021-01-21,-0.2574525745257454,-2.3756495921211447,-0.04242023997327271
2021-01-22,-0.1025336252736943,-2.4497596553565284,-0.07411006323538372
2021-01-23,-0.4128675308251661,-3.1209865528805376,-0.6712268975240092
2021-01-24,-0.4717605858007003,-3.5330198947152702,-0.4120333418347326
2021-01-25,-0.3738188522701078,-3.42790762473108,0.10511226998419021
2021-01-26,-0.4967046580773018,-3.2404544431108384,0.1874531816202416
2021-01-27,0.5993283927744316,-1.8251711513739344,1.415283291736904
2021-01-28,0.0090369222824682,-2.4050855417463937,-0.5799143903724593
2021-01-29,0.0243176788787805,-2.5807991482968085,-0.1757136065504148
