date,external_debt_usd,foreign_reserves_usd,inflation_pct
2021-01-01,96254706293.5,41727503547.2316,16.9528457221608
2021-01-02,96254706293.5,41727503547.2316,16.9528457221608
2021-01-03,96254706293.5,41727503547.2316,16.9528457221608
2021-01-04,96254706293.5,41727503547.2316,16.9528457221608
2021-01-05,96254706293.5,41727503547.2316,16.9528457221608
2021-01-06,96254706293.5,41727503547.2316,16.9528457221608
2021-01-07,96254706293.5,41727503547.2316,16.9528457221608
2021-01-08,96254706293.5,41727503547.2316,16.9528457221608
2021-01-09,96254706293.5,41727503547.2316,16.9528457221608
2021-01-10,96254706293.5,41727503547.2316,16.9528457221608
2021-01-11,96254706293.5,41727503547.2316,16.9528457221608
2021-01-12,96254706293.5,41727503547.2316,16.9528457221608
2021-01-13,96254706293.5,41727503547.2316,16.9528457221608
2021-01-14,96254706293.5,41727503547.2316,16.9528457221608
2021-01-15,96254706293.5,41727503547.2316,16.9528457221608
2021-01-16,96254706293.5,41727503547.2316,16.9528457221608
2021-01-17,96254706293.5,41727503547.2316,16.9528457221608
2021-01-18,96254706293.5,41727503547.2316,16.9528457221608
2021-01-19,96254706293.5,41727503547.2316,16.9528457221608
2021-01-20,96254706293.5,41727503547.2316,16.9528457221608
2021-01-21,96254706293.5,41727503547.2316,16.9528457221608
2021-01-22,96254706293.5,41727503547.2316,16.9528457221608
2021-01-23,96254706293.5,41727503547.2316,16.9528457221608
2021-01-24,96254706293.5,41727503547.2316,16.9528457221608
2021-01-25,96254706293.5,41727503547.2316,16.9528457221608
2021-01-26,96254706293.5,41727503547.2316,16.9528457221608
2021-01-27,96254706293.5,41727503547.2316,16.9528457221608
2021-01-28,96254706293.5,41727503547.2316,16.9528457221608
2021-01-29,96254706293.5,41727503547.2316,16.9528457221608
2021-01-30,96254706293.5,41727503547.2316,16.9528457221608
2021-01-31,96254706293.5,41727503547.2316,16.9528457221608
2021-02-01,96254706293.5,41727503547.2316,16.9528457221608
2021-02-02,96254706293.5,41727503547.2316,16.9528457221608
2021-02-03,96254706293.5,41727503547.2316,16.9528457221608
2021-02-04,96254706293.5,41727503547.2316,16.9528457221608
2021-02-05,96254706293.5,41727503547.2316,16.9528457221608
2021-02-06,96254706293.5,41727503547.2316,16.9528457221608
2021-02-07,96254706293.5,41727503547.2316,16.9528457221608
2021-02-08,96254706293.5,41727503547.2316,16.9528457221608
2021-02-09,96254706293.5,41727503547.2316,16.9528457221608
2021-02-10,96254706293.5,41727503547.2316,16.9528457221608
2021-02-11,96254706293.5,41727503547.2316,16.9528457221608
2021-02-12,96254706293.5,41727503547.2316,16.9528457221608
2021-02-13,96254706293.5,41727503547.2316,16.9528457221608
2021-02-14,96254706293.5,41727503547.2316,16.9528457221608
2021-02-15,96254706293.5,41727503547.2316,16.9528457221608
2021-02-16,96254706293.5,41727503547.2316,16.9528457221608
2021-02-17,96254706293.5,41727503547.2316,16.9528457221608
2021-02-18,96254706293.5,41727503547.2316,16.9528457221608
2021-02-19,96254706293.5,41727503547.2316,16.9528457221608
2021-02-20,96254706293.5,41727503547.2316,16.9528457221608
2021-02-21,96254706293.5,41727503547.2316,16.9528457221608
2021-02-22,96254706293.5,41727503547.2316,16.9528457221608
2021-02-23,96254706293.5,41727503547.2316,16.9528457221608
2021-02-24,96254706293.5,41727503547.2316,16.9528457221608
2021-02-25,96254706293.5,41727503547.2316,16.9528457221608
2021-02-26,96254706293.5,41727503547.2316,16.9528457221608
2021-02-27,96254706293.5,41727503547.2316,16.9528457221608
2021-02-28,96254706293.5,41727503547.2316,16.9528457221608
2021-03-01,96254706293.5,41727503547.2316,16.9528457221608
2021-03-02,96254706293.5,41727503547.2316,16.9528457221608
2021-03-03,96254706293.5,41727503547.2316,16.9528457221608
2021-03-04,96254706293.5,41727503547.2316,16.9528457221608
2021-03-05,96254706293.5,41727503547.2316,16.9528457221608
2021-03-06,96254706293.5,41727503547.2316,16.9528457221608
2021-03-07,96254706293.5,41727503547.2316,16.9528457221608
2021-03-08,96254706293.5,41727503547.2316,16.9528457221608
2021-03-09,96254706293.5,41727503547.2316,16.9528457221608
2021-03-10,96254706293.5,41727503547.2316,16.9528457221608
2021-03-11,96254706293.5,41727503547.2316,16.9528457221608
2021-03-12,96254706293.5,41727503547.2316,16.9528457221608
2021-03-13,96254706293.5,41727503547.2316,16.9528457221608
2021-03-14,96254706293.5,41727503547.2316,16.9528457221608
2021-03-15,96254706293.5,41727503547.2316,16.9528457221608
2021-03-16,96254706293.5,41727503547.2316,16.9528457221608
2021-03-17,96254706293.5,41727503547.2316,16.9528457221608
2021-03-18,96254706293.5,41727503547.2316,16.9528457221608
2021-03-19,96254706293.5,41727503547.2316,16.9528457221608
2021-03-20,96254706293.5,41727503547.2316,16.9528457221608
2021-03-21,96254706293.5,41727503547.2316,16.9528457221608
2021-03-22,96254706293.5,41727503547.2316,16.9528457221608
2021-03-23,96254706293.5,41727503547.2316,16.9528457221608
2021-03-24,96254706293.5,41727503547.2316,16.9528457221608
2021-03-25,96254706293.5,41727503547.2316,16.9528457221608
2021-03-26,96254706293.5,41727503547.2316,16.9528457221608
2021-03-27,96254706293.5,41727503547.2316,16.9528457221608
2021-03-28,96254706293.5,41727503547.2316,16.9528457221608
2021-03-29,96254706293.5,41727503547.2316,16.9528457221608
2021-03-30,96254706293.5,41727503547.2316,16.9528457221608
2021-03-31,96254706293.5,41727503547.2316,16.9528457221608
2021-04-01,96254706293.5,41727503547.2316,16.9528457221608
2021-04-02,96254706293.5,41727503547.2316,16.9528457221608
2021-04-03,96254706293.5,41727503547.2316,16.9528457221608
2021-04-04,96254706293.5,41727503547.2316,16.9528457221608
2021-04-05,96254706293.5,41727503547.2316,16.9528457221608
2021-04-06,96254706293.5,41727503547.2316,16.9528457221608
2021-04-07,96254706293.5,41727503547.2316,16.9528457221608
2021-04-08,96254706293.5,41727503547.2316,16.9528457221608
2021-04-09,96254706293.5,41727503547.2316,16.9528457221608
2021-04-10,96254706293.5,41727503547.2316,16.9528457221608
2021-04-11,96254706293.5,41727503547.2316,16.9528457221608
2021-04-12,96254706293.5,41727503547.2316,16.9528457221608
2021-04-13,96254706293.5,41727503547.2316,16.9528457221608
2021-04-14,96254706293.5,41727503547.2316,16.9528457221608
2021-04-15,96254706293.5,41727503547.2316,16.9528457221608
2021-04-16,96254706293.5,41727503547.2316,16.9528457221608
2021-04-17,96254706293.5,41727503547.2316,16.9528457221608
2021-04-18,96254706293.5,41727503547.2316,16.9528457221608
2021-04-19,96254706293.5,41727503547.2316,16.9528457221608
2021-04-20,96254706293.5,41727503547.2316,16.9528457221608
2021-04-21,96254706293.5,41727503547.2316,16.9528457221608
2021-04-22,96254706293.5,41727503547.2316,16.9528457221608
2021-04-23,96254706293.5,41727503547.2316,16.9528457221608
2021-04-24,96254706293.5,41727503547.2316,16.9528457221608
2021-04-25,96254706293.5,41727503547.2316,16.9528457221608
2021-04-26,96254706293.5,41727503547.2316,16.9528457221608
2021-04-27,96254706293.5,41727503547.2316,16.9528457221608
2021-04-28,96254706293.5,41727503547.2316,16.9528457221608
2021-04-29,96254706293.5,41727503547.2316,16.9528457221608
2021-04-30,96254706293.5,41727503547.2316,16.9528457221608
2021-05-01,96254706293.5,41727503547.2316,16.9528457221608
2021-05-02,96254706293.5,41727503547.2316,16.9528457221608
2021-05-03,96254706293.5,41727503547.2316,16.9528457221608
2021-05-04,96254706293.5,41727503547.2316,16.9528457221608
2021-05-05,96254706293.5,41727503547.2316,16.9528457221608
2021-05-06,96254706293.5,41727503547.2316,16.9528457221608
2021-05-07,96254706293.5,41727503547.2316,16.9528457221608
2021-05-08,96254706293.5,41727503547.2316,16.9528457221608
2021-05-09,96254706293.5,41727503547.2316,16.9528457221608
2021-05-10,96254706293.5,41727503547.2316,16.9528457221608
2021-05-11,96254706293.5,41727503547.2316,16.9528457221608
2021-05-12,96254706293.5,41727503547.2316,16.9528457221608
2021-05-13,96254706293.5,41727503547.2316,16.9528457221608
2021-05-14,96254706293.5,41727503547.2316,16.9528457221608
2021-05-15,96254706293.5,41727503547.2316,16.9528457221608
2021-05-16,96254706293.5,41727503547.2316,16.9528457221608
2021-05-17,96254706293.5,41727503547.2316,16.9528457221608
2021-05-18,96254706293.5,41727503547.2316,16.9528457221608
2021-05-19,96254706293.5,41727503547.2316,16.9528457221608
2021-05-20,96254706293.5,41727503547.2316,16.9528457221608
2021-05-21,96254706293.5,41727503547.2316,16.9528457221608
2021-05-22,96254706293.5,41727503547.2316,16.9528457221608
2021-05-23,96254706293.5,41727503547.2316,16.9528457221608
2021-05-24,96254706293.5,41727503547.2316,16.9528457221608
2021-05-25,96254706293.5,41727503547.2316,16.9528457221608
2021-05-26,96254706293.5,41727503547.2316,16.9528457221608
2021-05-27,96254706293.5,41727503547.2316,16.9528457221608
2021-05-28,96254706293.5,41727503547.2316,16.9528457221608
2021-05-29,96254706293.5,41727503547.2316,16.9528457221608
2021-05-30,96254706293.5,41727503547.2316,16.9528457221608
2021-05-31,96254706293.5,41727503547.2316,16.9528457221608
2021-06-01,96254706293.5,41727503547.2316,16.9528457221608
2021-06-02,96254706293.5,41727503547.2316,16.9528457221608
2021-06-03,96254706293.5,41727503547.2316,16.9528457221608
2021-06-04,96254706293.5,41727503547.2316,16.9528457221608
2021-06-05,96254706293.5,41727503547.2316,16.9528457221608
2021-06-06,96254706293.5,41727503547.2316,16.9528457221608
2021-06-07,96254706293.5,41727503547.2316,16.9528457221608
2021-06-08,96254706293.5,41727503547.2316,16.9528457221608
2021-06-09,96254706293.5,41727503547.2316,16.9528457221608
2021-06-10,96254706293.5,41727503547.2316,16.9528457221608
2021-06-11,96254706293.5,41727503547.2316,16.9528457221608
