date,obrent,obrent_return,obrent_vol_7d
2021-01-04,50.37,0.0,0.0
2021-01-05,53.16,0.05391047408748534,0.0
2021-01-06,53.8,0.011967233322694193,0.0
2021-01-07,53.7,-0.0018604656529195673,0.0
2021-01-08,55.51,0.03315018318725075,0.0
2021-01-09,55.51,0.0,0.0
2021-01-10,55.51,0.0,0.02161466686918824
2021-01-11,54.84,-0.012143330007956208,0.023333388910841864
2021-01-12,55.98,0.020574629393193728,0.015463497889958442
2021-01-13,55.52,-0.008251167888758251,0.01632878244351495
2021-01-14,55.76,0.0043134502537193475,0.01609327996368164
2021-01-15,54.8,-0.01736657249829859,0.012485911329283133
2021-01-16,54.8,0.0,0.012485911329283133
2021-01-17,54.8,0.0,0.012485911329283133
2021-01-18,54.21,-0.010824800681723,0.012313305296095497
2021-01-19,55.38,0.02135312447056906,0.012548764353165886
2021-01-20,55.66,0.005043238354928816,0.0123684012973526
2021-01-21,55.68,0.00035925992841950486,0.012247441316719648
2021-01-22,55.22,-0.008295809524155864,0.010481637753490735
2021-01-23,55.22,0.0,0.010481637753490735
2021-01-24,55.22,0.0,0.010481637753490735
2021-01-25,55.44,0.003976148379639417,0.009075967515055298
2021-01-26,55.26,-0.0032520353863773432,0.0044739442618290885
2021-01-27,55.07,-0.0034442162208803543,0.003893887830624938
2021-01-28,54.87,-0.0036383522035062024,0.0038649701650318486
2021-01-29,55.25,0.006901589326978164,0.0040635681242206356
2021-01-30,55.25,0.0,0.0040635681242206356
2021-01-31,55.25,0.0,0.0040635681242206356
2021-02-01,56.42,0.02095536517598809,0.008930970517984676
2021-02-02,57.62,0.021046024082532207,0.010839319607167299
2021-02-03,58.61,0.017035600831955527,0.010635394152127414
2021-02-04,58.98,0.006293072898792323,0.009257108467126601
2021-02-05,59.48,0.008441718204824155,0.009180337417411451
2021-02-06,59.48,0.0,0.009180337417411451
2021-02-07,59.48,0.0,0.009180337417411451
2021-02-08,60.17,0.011533767640306192,0.008015362960062621
2021-02-09,60.74,0.009428570385342264,0.00613397800416582
2021-02-10,61.17,0.007054413636870818,0.004499197312520005
2021-02-11,61.09,-0.0013086865927979254,0.005294096025293651
2021-02-12,62.47,0.02233825484380298,0.008453322739438027
2021-02-13,62.47,0.0,0.008453322739438027
2021-02-14,62.47,0.0,0.008453322739438027
2021-02-15,63.58,0.0176125139771782,0.009268793624201294
2021-02-16,63.96,0.005958932483096847,0.00926463923883807
2021-02-17,65.02,0.01643702691000564,0.009868814706069444
2021-02-18,64.09,-0.014406569359623735,0.012871865693658146
2021-02-19,62.84,-0.019696532128715093,0.014179833570146827
2021-02-20,62.84,0.0,0.014179833570146827
2021-02-21,62.84,0.0,0.014179833570146827
2021-02-22,64.73,0.02963295916999848,0.01699703223851876
2021-02-23,65.16,0.006621011176425539,0.01702091839323047
2021-02-24,66.85,0.02560551981410782,0.0185429040079352
2021-02-25,66.69,-0.0023962869037372084,0.017055671987004088
2021-02-26,65.86,-0.012523739695996646,0.015413305484880183
2021-02-27,65.86,0.0,0.015413305484880183
2021-02-28,65.86,0.0,0.015413305484880183
2021-03-01,64.56,-0.019936252986524877,0.014482937802357553
2021-03-02,63.17,-0.021765519051084356,0.01608307059482528
2021-03-03,64.7,0.02393169659624583,0.015566208586300924
2021-03-04,67.32,0.039696167815750125,0.02296344458537792
2021-03-05,69.95,0.038323331788885064,0.025722270372725353
2021-03-06,69.95,0.0,0.025722270372725353
2021-03-07,69.95,0.0,0.025722270372725353
2021-03-08,68.0,-0.028272995935383502,0.027402251195594588
2021-03-09,67.03,-0.014367424806240396,0.026205713427346785
2021-03-10,67.53,0.0074316632168841545,0.025310259797837607
2021-03-11,69.34,0.026449996670126933,0.022746533183515216
2021-03-12,68.87,-0.006801270700270513,0.017186654815366992
2021-03-13,68.87,0.0,0.017186654815366992
2021-03-14,68.87,0.0,0.017186654815366992
2021-03-15,68.78,-0.0013076645524868274,0.01284937823856865
2021-03-16,67.95,-0.012140864406967431,0.012407343244988175
2021-03-17,67.73,-0.0032429273703404337,0.012276246786268163
2021-03-18,62.11,-0.08662220665560076,0.0315623869103059
2021-03-19,64.0,0.02997607678846033,0.03603992216999701
2021-03-20,64.0,0.0,0.03603992216999701
2021-03-21,64.0,0.0,0.03603992216999701
2021-03-22,63.89,-0.0017202287454199444,0.03602276160388848
2021-03-23,59.96,-0.06348518137985491,0.041251864440322146
2021-03-24,63.7,0.06050688934372074,0.0509227974473177
2021-03-25,61.21,-0.03987398771513926,0.04113488914583642
2021-03-26,63.77,0.04097228546420184,0.042741904719503426
2021-03-27,63.77,0.0,0.042741904719503426
2021-03-28,63.77,0.0,0.042741904719503426
2021-03-29,64.06,0.004537283853831782,0.04277790159456064
2021-03-30,63.28,-0.012250820721613646,0.033380420559111466
2021-03-31,63.52,0.003785493479481886,0.02398790898057415
2021-04-01,63.85,0.005181765539667942,0.016511909822027843
2021-04-02,63.85,0.0,0.005938934563678967
2021-04-03,63.85,0.0,0.005938934563678967
2021-04-04,63.85,0.0,0.005938934563678967
2021-04-05,63.85,0.0,0.005623210966201128
2021-04-06,61.47,-0.03798733155963023,0.015077073013774811
2021-04-07,61.86,0.006324516338005563,0.015328130790287914
2021-04-08,62.09,0.0037111781198780076,0.015194276762517679
2021-04-09,61.89,-0.0032263296255313585,0.015101613579428486
2021-04-10,61.89,0.0,0.015101613579428486
2021-04-11,61.89,0.0,0.015101613579428486
2021-04-12,62.38,0.00788609542838716,0.01576868100130798
2021-04-13,62.83,0.007187955235198351,0.004274474088543021
2021-04-14,66.11,0.05088735493063113,0.018694174221540197
2021-04-15,66.13,0.0003024803410842495,0.018912978681061492
2021-04-16,65.98,-0.0022708358861355388,0.018813171379628
2021-04-17,65.98,0.0,0.018813171379628
2021-04-18,65.98,0.0,0.018813171379628
2021-04-19,66.54,0.008451604789895328,0.018808093652565833
2021-04-20,65.34,-0.018198864417406643,0.021518192969517243
2021-04-21,64.02,-0.020408871631207238,0.010622087268553003
2021-04-22,65.07,0.016268078965175743,0.013239184508349535
2021-04-23,65.75,0.01039605755098134,0.014083895843538814
2021-04-24,65.75,0.0,0.014083895843538814
2021-04-25,65.75,0.0,0.014083895843538814
2021-04-26,65.5,-0.0038095284166677302,0.013537048193453968
2021-04-27,66.25,0.011385322225125429,0.012288613997816673
2021-04-28,67.08,0.012450472088676386,0.007750839328338556
2021-04-29,68.26,0.017438006523553012,0.008000877441378503
2021-04-30,67.73,-0.007794730251748729,0.009471357542215599
2021-05-01,67.73,0.0,0.009471357542215599
2021-05-02,67.73,0.0,0.009471357542215599
2021-05-03,67.73,0.0,0.00903106252386855
2021-05-04,68.91,0.017272092142304143,0.009973297438448943
2021-05-05,69.71,0.011542474129190721,0.009875130761488474
2021-05-06,68.62,-0.015759742068003596,0.011080978523726972
2021-05-07,68.73,0.001601747703210274,0.010422740125269439
2021-05-08,68.73,0.0,0.010422740125269439
2021-05-09,68.73,0.0,0.010422740125269439
2021-05-10,68.61,-0.0017474884307144486,0.0105018753050615
2021-05-11,68.83,0.003201399707473364,0.00813709293384408
2021-05-12,69.62,0.011412185973020213,0.00810593714541041
2021-05-13,67.36,-0.033000512449221676,0.01405983879444515
2021-05-14,69.24,0.027527360373937253,0.018177468229087827
2021-05-15,69.24,0.0,0.018177468229087827
2021-05-16,69.24,0.0,0.018177468229087827
2021-05-17,69.62,0.00547315207528444,0.01819671951590177
2021-05-18,69.01,-0.008800460750782361,0.018634450348413704
2021-05-19,66.88,-0.031351452856064395,0.021239882334185667
2021-05-20,65.18,-0.02574729536703053,0.019817408759095795
2021-05-21,66.72,0.023352084641075667,0.018718110536523388
2021-05-22,66.72,0.0,0.018718110536523388
2021-05-23,66.72,0.0,0.018718110536523388
2021-05-24,68.59,0.027641993460738794,0.022364208842831843
2021-05-25,68.8,0.0030569934280678195,0.02222331650370566
2021-05-26,68.93,0.001887751958262664,0.01758319915879549
