Date,xofficial,High,Low,Open,Volume
2021-01-01,380.70001220703125,380.70001220703125,380.70001220703125,380.70001220703125,0
2021-01-04,380.70001220703125,392.70452880859375,380.70001220703125,380.70001220703125,0
2021-01-05,374.0,392.7750549316406,374.0,380.70001220703125,0
2021-01-06,374.0,392.78973388671875,379.75,380.70001220703125,0
2021-01-07,374.0,392.39752197265625,380.70001220703125,380.70001220703125,0
2021-01-08,380.70001220703125,380.75,375.0,380.70001220703125,0
2021-01-11,393.8813781738281,395.4324035644531,374.0,380.70001220703125,0
2021-01-12,374.0,394.8971862792969,379.75,380.70001220703125,0
2021-01-13,375.0,380.70001220703125,379.75,380.70001220703125,0
2021-01-14,375.0,392.31951904296875,380.70001220703125,380.70001220703125,0
2021-01-15,375.0,392.3733215332031,380.70001220703125,380.70001220703125,0
2021-01-18,393.7083435058594,393.77679443359375,380.70001220703125,380.70001220703125,0
2021-01-19,380.70001220703125,380.75,375.0,380.70001220703125,0
2021-01-20,375.0,392.2706604003906,380.70001220703125,380.70001220703125,0
2021-01-21,374.0,392.1497497558594,380.70001220703125,380.70001220703125,0
2021-01-22,375.0,392.48388671875,380.70001220703125,380.70001220703125,0
2021-01-25,378.0,380.75,378.0,380.70001220703125,0
2021-01-26,378.0,392.1089172363281,376.0,380.70001220703125,0
2021-01-27,376.0,380.75,375.0,380.67999267578125,0
2021-01-28,376.0,394.690185546875,375.0,380.67999267578125,0
2021-01-29,375.0,380.70001220703125,374.0,380.70001220703125,0
2021-02-01,380.70001220703125,380.70001220703125,380.70001220703125,380.70001220703125,0
2021-02-02,375.0,380.75,380.25,380.70001220703125,0
2021-02-03,375.0,380.75,374.0,380.70001220703125,0
2021-02-04,376.0,380.75,374.0,380.70001220703125,0
2021-02-05,375.0,380.75,375.0,380.70001220703125,0
2021-02-08,376.0,380.75,375.0,380.70001220703125,0
2021-02-09,376.0,380.75,375.0,380.70001220703125,0
2021-02-10,376.0,380.75,375.0,380.70001220703125,0
2021-02-11,376.0,380.75,375.0,380.70001220703125,0
2021-02-12,375.0,380.70001220703125,375.0,380.70001220703125,0
2021-02-15,380.6499938964844,380.75,380.6499938964844,380.6499938964844,0
2021-02-16,380.6499938964844,380.75,380.6499938964844,380.6499938964844,0
2021-02-17,376.0,380.75,375.0,380.6499938964844,0
2021-02-18,376.0,380.6499938964844,375.0,380.6499938964844,0
2021-02-19,375.0,380.75,376.0,380.6000061035156,0
2021-02-22,376.0,380.75,376.0,380.6000061035156,0
2021-02-23,376.0,380.75,375.0,380.6000061035156,0
2021-02-24,375.0,380.75,375.0,380.6000061035156,0
2021-02-25,375.0,380.75,376.0,380.6000061035156,0
2021-02-26,380.5799865722656,380.75,380.5799865722656,380.5799865722656,0
2021-03-01,380.5799865722656,380.75,380.54998779296875,380.5799865722656,0
2021-03-02,376.0,380.54998779296875,380.5,380.5,0
2021-03-03,380.5,380.75,375.0,380.5,0
2021-03-04,380.5,411.1099853515625,380.5,380.5,0
2021-03-05,379.5,380.6300048828125,379.5,379.5,0
2021-03-08,376.0,381.0820007324219,380.25,380.5,0
2021-03-09,380.0,380.0,380.0,380.0,0
2021-03-10,379.5,380.3399963378906,379.5,379.5,0
2021-03-11,380.0,411.3500061035156,377.0,380.0,0
2021-03-12,380.5,380.75,378.0,380.5,0
2021-03-15,380.5,381.0580139160156,380.5,381.0580139160156,0
2021-03-16,380.5,380.54998779296875,377.0,380.5,0
2021-03-17,376.0,379.5,379.5,379.5,0
2021-03-18,380.58599853515625,381.0,378.0,380.54998779296875,0
2021-03-19,380.0,409.8699951171875,380.0,380.0,0
2021-03-22,380.0,380.75,379.5,380.75,0
2021-03-23,378.0,411.1300048828125,379.5,379.5,0
2021-03-24,379.0,380.54998779296875,379.0,380.0,0
2021-03-25,380.0,380.54998779296875,379.0,380.0,0
2021-03-26,380.5,409.1600036621094,380.5,380.5,0
2021-03-29,380.54998779296875,390.1700134277344,379.0,380.54998779296875,0
2021-03-30,379.5,380.54998779296875,378.0,379.5,0
2021-03-31,380.0,381.0,379.5,380.0,0
2021-04-01,381.0,381.0,379.0,381.0,0
2021-04-02,380.5,380.5,379.0,380.5,0
2021-04-05,380.5,408.8599853515625,380.5,380.5,0
2021-04-06,408.8599853515625,409.5,380.75,380.75,0
2021-04-07,380.75,380.54998779296875,380.54998779296875,380.54998779296875,0
2021-04-08,380.54998779296875,380.8739929199219,380.54998779296875,380.54998779296875,0
2021-04-09,380.54998779296875,380.8800048828125,380.8800048828125,380.8800048828125,0
2021-04-12,380.54998779296875,380.75,378.0,380.54998779296875,0
2021-04-13,380.0,381.0,380.0,380.0,0
2021-04-14,381.5,381.5,380.25,381.5,0
2021-04-15,380.0,381.0,380.0,380.0,0
2021-04-16,380.5,380.6000061035156,380.25,380.5,0
2021-04-19,410.5299987792969,380.7699890136719,376.0,380.760009765625,0
2021-04-20,379.5,380.75,379.5,379.5,0
2021-04-21,380.5,408.2699890136719,380.0,380.5,0
2021-04-22,380.0,380.5299987792969,377.0,380.0,0
2021-04-23,378.0,380.75,378.0,380.5,0
2021-04-26,380.54998779296875,381.0,380.25,380.54998779296875,0
2021-04-27,380.5,380.75,380.0,380.5,0
2021-04-28,379.0,379.0,376.0,379.0,0
2021-04-29,376.0,408.1600036621094,379.5,379.5,0
2021-04-30,380.5,380.5,380.0,380.5,0
2021-05-03,410.2900085449219,379.5,379.5,379.5,0
2021-05-04,380.0,380.57000732421875,379.5,380.0,0
2021-05-05,380.0,380.0,376.0,380.0,0
2021-05-06,380.0,408.2699890136719,376.0,380.0,0
2021-05-07,380.5,381.5,380.0,380.5,0
2021-05-10,380.0,410.1300048828125,380.0,380.0,0
2021-05-11,380.0,408.2099914550781,380.0,380.0,0
2021-05-12,380.0,408.1600036621094,381.0899963378906,381.0899963378906,0
2021-05-13,408.1600036621094,409.7300109863281,408.1400146484375,408.1600036621094,0
2021-05-14,376.0,408.0,379.5,379.5,0
2021-05-17,412.5,412.8999938964844,408.25,412.5,0
2021-05-18,410.0,412.6000061035156,406.989990234375,412.0,0
2021-05-19,410.0,412.29998779296875,410.0,412.0,0
2021-05-20,412.0,412.29998779296875,408.82000732421875,412.0,0
2021-05-21,412.0,412.1600036621094,412.0,412.0,0
2021-05-24,412.20001220703125,413.2900085449219,409.75,412.20001220703125,0
2021-05-25,410.0,412.1000061035156,409.739990234375,412.0,0
2021-05-26,409.0,412.1000061035156,408.25,412.0,0
2021-05-27,409.0,412.19000244140625,412.0,412.0,0
2021-05-28,410.0,412.7099914550781,407.0,412.0,0
2021-05-31,412.5,412.5,410.0,412.5,0
2021-06-01,412.5,412.5,409.4100036621094,412.5,0
2021-06-02,412.0,412.04998779296875,410.0,412.0,0
2021-06-03,412.5,412.5,409.75,412.5,0
2021-06-04,412.0,412.04998779296875,409.9200134277344,412.0,0
