date,stability_index,avg_sentiment
2021-01-01,0.63718411552346466,-1.5041570502095645
2021-01-02,-0.097924028268551455,-2.8579788851952967
2021-01-03,-0.53454258675078858,-2.7656701041870986
2021-01-04,-0.22094528973777949,-2.7580108658605642
2021-01-05,0.12203652120086683,-2.6569555307335211
2021-01-06,0.2214019641043008,-1.9399322002849226
2021-01-07,0.19131578947368477,-2.2857013670151951
2021-01-08,0.53607129019759725,-1.7514644039580674
2021-01-09,-0.13923196678775263,-2.338128751361614
2021-01-10,-0.15316027088036144,-2.3965187596678579
2021-01-11,0.13180941889286668,-2.4377343207493141
2021-01-12,-0.17263773468759647,-2.3087500738797755
2021-01-13,0.24191804211724555,-1.9327369748721681
2021-01-14,0.16632331902718134,-2.3921503797496131
2021-01-15,0.49182293267752863,-1.6504939688189748
2021-01-16,0.45733333333333381,-1.6622313350141453
2021-01-17,-0.096006389776357393,-1.8140223633953647
2021-01-18,-0.442303745510519,-2.7057999064242551
2021-01-19,-0.17729571466595695,-2.0940426154385583
2021-01-20,-0.09899833055091789,-2.333229352147872
2021-01-21,-0.25745257452574549,-2.3756495921211451
2021-01-22,-0.10253362527369436,-2.4497596553565284
2021-01-23,-0.41286753082516614,-3.1209865528805376
2021-01-24,-0.47176058580070035,-3.5330198947152702
2021-01-25,-0.3738188522701078,-3.4279076247310796
2021-01-26,-0.4967046580773018,-3.2404544431108384
2021-01-27,0.59932839277443162,-1.8251711513739346
2021-01-28,0.0090369222824682183,-2.4050855417463937
2021-01-29,0.024317678878780558,-2.5807991482968085
2021-01-30,0.07099999999999973,-2.3265827580897342
2021-01-31,0.39070342877341824,-2.2663941077256893
2021-02-01,0.19722148009617935,-2.3304467389243944
2021-02-02,0.36289890377588252,-1.9614428343479686
2021-02-03,0.13842662632375213,-2.3318316156953429
2021-02-04,0.033000277546488821,-2.3820894739479548
2021-02-05,-0.12255353754404985,-2.6844041307152073
2021-02-06,-0.09020074855393001,-2.3036532789928237
2021-02-07,-0.22946611909650841,-2.1110836909727624
2021-02-08,-0.23070334804048787,-3.0043403824477388
2021-02-09,-0.061072319201994851,-2.1692848650190335
2021-02-10,0.099795733091239125,-2.03695830517852
2021-02-11,-0.089107934943322142,-2.6869414825974776
2021-02-12,0.21903417113809676,-1.9528682569561171
2021-02-13,-0.73096989966555181,-3.3145474299509976
2021-02-14,-0.46468541606262759,-3.0945768008914727
2021-02-15,-0.19497851164894753,-2.608453860894552
2021-02-16,0.34111849644739745,-2.1271923075570411
2021-02-17,-0.59827368421052629,-2.9171254570981349
2021-02-18,-0.36041102077687381,-2.9499478620091244
2021-02-19,-0.05524820943442843,-2.4680285722097759
2021-02-20,0.063723211980377,-2.5596412760759284
2021-02-21,-0.550753512132824,-3.2722885245702962
2021-02-22,-0.26827822120866562,-3.0051032282242538
2021-02-23,0.21489077128845224,-2.8435920339623921
2021-02-24,-0.46183241252301843,-2.8137800884360331
2021-02-25,-0.56586306653809137,-2.7754790766941859
2021-02-26,-0.74870499052431994,-3.605115959977292
2021-02-27,-0.87552059231837265,-3.8731737171069605
2021-02-28,0.068180527959125548,-2.9624986786972212
2021-03-01,-0.10304479114242637,-2.777443155296988
2021-03-02,-0.3220517737296259,-3.4846529079262911
2021-03-03,-0.12170075349838538,-3.2815188991197859
2021-03-04,-0.070416994492526017,-2.9605387580260212
2021-03-05,0.014260407440213157,-2.1217585546887014
2021-03-06,0.21426229508196762,-1.7791086284646314
2021-03-07,-0.26915708812260541,-2.3104902903708822
2021-03-08,0.049592811008143681,-1.6824693940348421
2021-03-09,-0.39714285714285713,-4.6067359083735253
2021-03-10,-0.22888888888888881,-2.72030386466189
2021-03-11,0.14244290479856295,-2.0295293302232467
2021-03-12,-0.20910067114093978,-2.5967993369541924
2021-03-13,-0.38586456278764003,-2.8113128911043659
2021-03-14,-0.26381829733163881,-2.4553677458207992
2021-03-15,-0.68540750323415289,-2.8717976329190451
2021-03-16,-0.10132812499999991,-2.6945431404260591
2021-03-17,-0.0415769712140177,-2.2807697377091825
2021-03-18,-0.09406896551724124,-2.3792768719553896
2021-03-19,-0.37988321167883238,-2.4597149733560375
2021-03-20,-0.1585197234648234,-2.3923167331630535
2021-03-21,-0.25906148867313972,-2.0291838248274647
2021-03-22,-1.7243589743589745,-3.9602702491136244
2021-03-23,-0.36543136673584342,-2.665896012073115
2021-03-24,0.07304800462695267,-1.9201374921907559
2021-03-25,0.13568730020342923,-2.3117428720522355
2021-03-26,0.35270859277708533,-1.5578137750507501
2021-03-27,0.25010438413361175,-1.9278565359396493
2021-03-28,0.14360269360269373,-1.4025560376221911
2021-03-29,0.16862910008410403,-1.5812332937515796
2021-03-30,0.25099115584019638,-1.4605092923485219
2021-03-31,0.16877203290246703,-1.7260422052279403
2021-04-01,-0.33820816864295006,-2.3373873883421004
2021-04-02,-0.078709085347200461,-2.1367781334042037
2021-04-03,0.086922792759512688,-2.1077087829717991
2021-04-04,0.14748663101604248,-2.0834014640511564
2021-04-05,-0.21706833002551734,-2.7547341921186512
2021-04-06,0.17800490596892932,-2.6694031691620457
2021-04-07,0.17987719787887177,-2.240653781192592
2021-04-08,0.20760772659732546,-2.3622323220193944
2021-04-09,-0.062125494629734559,-2.7570907267855453
2021-04-10,0.00019825535289524215,-2.4240791780593858
2021-04-11,-0.0688897455666928,-2.2902441063298715
2021-04-12,-0.24806151874399196,-2.1470695354226756
2021-04-13,0.014936247723132845,-2.0985775542714564
2021-04-14,-0.26450556647020318,-2.5658051557892554
2021-04-15,0.11028958718422643,-2.1705352828712394
2021-04-16,0.072533333333333339,-2.2917674773617565
2021-04-17,-0.12436781609195413,-2.1115357970860815
2021-04-18,0.038230994152046852,-2.2526859775245409
2021-04-19,-0.24581037982023743,-2.7614930070620978
2021-04-20,0.019191919191918989,-2.4775315582370245
2021-04-21,-0.23984145625367082,-2.5469847545765685
2021-04-22,-0.28371257485029955,-2.5279084304423871
2021-04-23,-0.35695774647887407,-3.0332239397147691
2021-04-24,-1.1386380189366376,-3.8926015762985422
2021-04-25,-1.4587385019710892,-3.8343770245463147
2021-04-26,-1.1527579162410613,-3.7951746282891285
2021-04-27,-0.82162861849846691,-3.74710059811118
2021-04-28,-0.51819664492078255,-3.1615394229862508
2021-04-29,-0.10124904409890413,-2.8202822595596069
2021-04-30,-0.056288088642658884,-2.6757078532131118
2021-05-01,-0.17537546933667136,-2.8434603861596424
2021-05-02,-0.527141057934509,-3.09002278855087
2021-05-03,-0.684241305016928,-2.9541340861747747
2021-05-04,-0.42283506528110792,-3.1068164022786391
2021-05-05,-0.28120377454730905,-2.848336924749816
2021-05-06,0.082133488778781433,-2.0863865645204482
2021-05-07,-0.0485145659071243,-2.40626238595446
2021-05-08,-0.42511144130757922,-3.5360615038378391
2021-05-09,-0.69367001037703213,-3.1543915221799974
2021-05-10,-0.20188356164383531,-3.0001462351734025
2021-05-11,-0.078499050031665712,-2.5085577065418883
2021-05-12,0.1415471923536436,-1.7259814775136721
2021-05-13,0.14192884445751269,-1.6356031765940602
2021-05-14,0.24471798067933945,-1.8792312154666471
2021-05-15,-0.031850467289719693,-2.4998655813394186
2021-05-16,-0.15095824777549649,-2.5074927624758634
2021-05-17,-0.30520436659050504,-2.9090998502648011
2021-05-18,0.06715382709933132,-2.683031622322873
2021-05-19,-0.079532577903682691,-2.8758851365710933
2021-05-20,0.0011186770428014796,-2.2283888404538841
2021-05-21,-0.18183584264205907,-2.3125297143706947
2021-05-22,-0.3756710254645555,-3.0434280407607486
2021-05-23,0.051625722543352667,-2.5658547671390006
2021-05-24,-0.17925349209983971,-2.6755019519265444
2021-05-25,-0.26131578947368472,-2.8643594014971514
2021-05-26,0.11328334226031113,-1.9868170146493898
2021-05-27,0.29108093716719974,-2.3202760175454777
2021-05-28,0.24819624819624733,-2.0548687103752923
2021-05-29,-0.49778440562419934,-2.4797443894469113
2021-05-30,-1.3091062965470532,-3.3802941229130878
2021-05-31,-1.4344881190317549,-3.7463009504261988
2021-06-01,-0.85230842455973221,-3.138198337200385
2021-06-02,-1.0085233751425335,-3.3565651375737695
2021-06-03,-0.70482758620689678,-3.2619177273896995
2021-06-04,-0.052015355086371784,-2.8340180903242658
2021-06-05,-0.2724399494311,-3.67137103717826
2021-06-06,-0.65610972568578585,-3.8166124259407295
2021-06-07,-0.73314099347716977,-3.351555780728257
2021-06-08,-0.25517945725124019,-2.7974180911926902
2021-06-09,-0.20096658381662522,-2.9375079011845786
2021-06-10,-0.11231094978826373,-2.5709556034263614
2021-06-11,-0.26322388059701507,-2.7445465038351533
2021-06-12,-1.0439373750832768,-3.520418615964878
2021-06-13,-0.41764705882352804,-2.5831373165334468
2021-06-14,0.12986309184255534,-2.4144696082582104
2021-06-15,-0.45742857142857191,-2.6846028622080178
2021-06-16,-0.2066644451849384,-2.6137032797664492
2021-06-17,-0.22297174111212359,-2.5098622212797768
2021-06-18,-0.25287394957983117,-2.7806841333195842
2021-06-19,0.28706247230837367,-1.8917872020809352
2021-06-20,-0.28299612569952659,-2.5205762717378439
2021-06-21,-0.079516908212560633,-2.43996428762855
2021-06-22,0.074603174603174782,-2.7037225310739474
2021-06-23,0.085376086305064325,-2.6182960104771462
2021-06-24,-0.096060606060606374,-2.5748046404566796
2021-06-25,0.042730677562138136,-1.9215091287260175
2021-06-26,-0.38175865294667838,-2.33590350781282
2021-06-27,0.18551028979420409,-1.8945301756460766
2021-06-28,0.024688796680498271,-1.8752169972501935
2021-06-29,0.044359654943596526,-2.3080428541552913
2021-06-30,-0.07433747971876678,-2.2716313476490351
2021-07-01,-0.0201656669522996,-2.4227604640294889
2021-07-02,-0.18193217440866349,-2.5694382209313673
2021-07-03,-0.33129032258064484,-2.8877991556995735
2021-07-04,-0.30194986072423413,-2.1685398110909069
2021-07-05,-0.59198587340396669,-2.9601363732287069
2021-07-06,-0.40091671031953835,-2.6583251752487937
2021-07-07,-0.25494259311117284,-2.3931703871702528
2021-07-08,-0.14506920415224978,-2.5995536535428734
2021-07-09,-0.278531073446328,-2.428450686291451
2021-07-10,-0.091133200795228575,-2.2912091909478671
2021-07-11,0.29179962894248579,-1.7674788896030889
2021-07-12,0.0985846331600233,-1.91718641762692
2021-07-13,0.16807017543859626,-2.1000891253038132
2021-07-14,-0.2530682800345721,-2.4193344825200458
2021-07-15,0.017021276595744261,-2.3569787815840737
2021-07-16,-0.39211890770826152,-2.3876470459902812
2021-07-17,-0.7679870654810026,-3.0528312203187338
2021-07-18,-0.12260119940029979,-2.2120290448775406
2021-07-19,-0.017211906867079345,-2.0883730332724073
2021-07-20,0.27018834608593328,-1.4283588021907658
2021-07-21,-0.0085210860774119,-1.9262808234615876
2021-07-22,-0.25454262601120048,-2.4870967515299851
2021-07-23,0.046914822266934948,-2.3688883886030672
2021-07-24,-0.00087229588276363382,-2.5033366226085336
2021-07-25,-0.22733918128654981,-2.9147624036858928
2021-07-26,-0.14394606494221268,-3.0517252844599096
2021-07-27,-0.16756508422664651,-3.0003441927582868
2021-07-28,0.19495681248258556,-2.1680230258301014
2021-07-29,-0.008970499698976786,-2.1970798482324945
2021-07-30,0.1030821917808217,-2.029177788498838
2021-07-31,0.10192008303061782,-1.7904439203872822
2021-08-01,-0.34158372998701875,-2.4164984271603194
2021-08-02,0.0211433046202037,-2.3374357270938888
2021-08-03,0.36639969488939855,-2.4952323326684769
2021-08-04,0.27685003274394188,-2.5147919211200414
2021-08-05,0.0614612188365651,-2.5392390194291417
2021-08-06,-0.33039686000872232,-2.5339571903674458
2021-08-07,0.034898843930635914,-1.9591482391736856
2021-08-08,-0.36663607159247397,-2.4822061850587067
